samples,output_bits,trial,success,time_s
2,128,0,0,0.079
2,128,1,0,0.065
2,128,2,0,0.062
2,128,3,0,0.065
2,128,4,0,0.082
2,96,0,0,0.066
2,96,1,0,0.065
2,96,2,0,0.079
2,96,3,0,0.072
2,96,4,0,0.087
2,64,0,0,0.063
2,64,1,0,0.094
2,64,2,0,0.063
2,64,3,0,0.061
2,64,4,0,0.091
3,128,0,0,0.093
3,128,1,0,0.085
3,128,2,0,0.135
3,128,3,0,0.098
3,128,4,0,0.073
3,96,0,0,0.073
3,96,1,0,0.067
3,96,2,0,0.068
3,96,3,0,0.111
3,96,4,0,0.064
3,64,0,0,0.071
3,64,1,0,0.082
3,64,2,0,0.086
3,64,3,0,0.064
3,64,4,0,0.065
4,128,0,0,0.065
4,128,1,0,0.072
4,128,2,0,0.090
4,128,3,0,0.080
4,128,4,0,0.084
4,96,0,0,0.066
4,96,1,0,0.095
4,96,2,0,0.098
4,96,3,0,0.075
4,96,4,0,0.072
4,64,0,0,0.066
4,64,1,0,0.094
4,64,2,0,0.073
4,64,3,0,0.069
4,64,4,0,0.082
5,128,0,0,0.067
5,128,1,0,0.071
5,128,2,0,0.073
5,128,3,0,0.072
5,128,4,0,0.067
5,96,0,0,0.066
5,96,1,0,0.083
5,96,2,0,0.077
5,96,3,0,0.072
5,96,4,0,0.071
5,64,0,0,0.070
5,64,1,0,0.068
5,64,2,0,0.072
5,64,3,0,0.065
5,64,4,0,0.095
